2024-03-28 18:27:11,885 INFO    StreamThr :9039 [internal.py:wandb_internal():86] W&B internal server running at pid: 9039, started at: 2024-03-28 18:27:11.885729
2024-03-28 18:27:11,886 DEBUG   HandlerThread:9039 [handler.py:handle_request():146] handle_request: status
2024-03-28 18:27:11,887 INFO    WriterThread:9039 [datastore.py:open_for_write():87] open: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_182711-gisbaess/run-gisbaess.wandb
2024-03-28 18:27:11,887 DEBUG   SenderThread:9039 [sender.py:send():379] send: header
2024-03-28 18:27:11,889 DEBUG   SenderThread:9039 [sender.py:send():379] send: run
2024-03-28 18:27:12,374 INFO    SenderThread:9039 [dir_watcher.py:__init__():211] watching files in: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_182711-gisbaess/files
2024-03-28 18:27:12,374 INFO    SenderThread:9039 [sender.py:_start_run_threads():1124] run started: gisbaess with start time 1711675631.885613
2024-03-28 18:27:12,377 DEBUG   HandlerThread:9039 [handler.py:handle_request():146] handle_request: check_version
2024-03-28 18:27:12,377 DEBUG   SenderThread:9039 [sender.py:send_request():406] send_request: check_version
2024-03-28 18:27:12,429 DEBUG   HandlerThread:9039 [handler.py:handle_request():146] handle_request: run_start
2024-03-28 18:27:12,436 DEBUG   HandlerThread:9039 [system_info.py:__init__():26] System info init
2024-03-28 18:27:12,436 DEBUG   HandlerThread:9039 [system_info.py:__init__():41] System info init done
2024-03-28 18:27:12,436 INFO    HandlerThread:9039 [system_monitor.py:start():194] Starting system monitor
2024-03-28 18:27:12,436 INFO    SystemMonitor:9039 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-28 18:27:12,436 INFO    HandlerThread:9039 [system_monitor.py:probe():214] Collecting system info
2024-03-28 18:27:12,436 INFO    SystemMonitor:9039 [interfaces.py:start():190] Started cpu monitoring
2024-03-28 18:27:12,436 INFO    SystemMonitor:9039 [interfaces.py:start():190] Started disk monitoring
2024-03-28 18:27:12,437 INFO    SystemMonitor:9039 [interfaces.py:start():190] Started gpu monitoring
2024-03-28 18:27:12,437 INFO    SystemMonitor:9039 [interfaces.py:start():190] Started memory monitoring
2024-03-28 18:27:12,437 INFO    SystemMonitor:9039 [interfaces.py:start():190] Started network monitoring
2024-03-28 18:27:12,446 DEBUG   HandlerThread:9039 [system_info.py:probe():150] Probing system
2024-03-28 18:27:12,448 DEBUG   HandlerThread:9039 [system_info.py:_probe_git():135] Probing git
2024-03-28 18:27:12,451 DEBUG   HandlerThread:9039 [system_info.py:_probe_git():143] Probing git done
2024-03-28 18:27:12,451 DEBUG   HandlerThread:9039 [system_info.py:probe():198] Probing system done
