2024-03-28 16:22:47,281 INFO    StreamThr :6385 [internal.py:wandb_internal():86] W&B internal server running at pid: 6385, started at: 2024-03-28 16:22:47.281271
2024-03-28 16:22:47,282 DEBUG   HandlerThread:6385 [handler.py:handle_request():146] handle_request: status
2024-03-28 16:22:47,283 INFO    WriterThread:6385 [datastore.py:open_for_write():87] open: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_162247-ep8403ye/run-ep8403ye.wandb
2024-03-28 16:22:47,283 DEBUG   SenderThread:6385 [sender.py:send():379] send: header
2024-03-28 16:22:47,284 DEBUG   SenderThread:6385 [sender.py:send():379] send: run
2024-03-28 16:22:47,591 INFO    SenderThread:6385 [dir_watcher.py:__init__():211] watching files in: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_162247-ep8403ye/files
2024-03-28 16:22:47,591 INFO    SenderThread:6385 [sender.py:_start_run_threads():1124] run started: ep8403ye with start time 1711668167.281088
2024-03-28 16:22:47,594 DEBUG   HandlerThread:6385 [handler.py:handle_request():146] handle_request: check_version
2024-03-28 16:22:47,594 DEBUG   SenderThread:6385 [sender.py:send_request():406] send_request: check_version
2024-03-28 16:22:47,641 DEBUG   HandlerThread:6385 [handler.py:handle_request():146] handle_request: run_start
2024-03-28 16:22:47,648 DEBUG   HandlerThread:6385 [system_info.py:__init__():26] System info init
2024-03-28 16:22:47,648 DEBUG   HandlerThread:6385 [system_info.py:__init__():41] System info init done
2024-03-28 16:22:47,648 INFO    HandlerThread:6385 [system_monitor.py:start():194] Starting system monitor
2024-03-28 16:22:47,648 INFO    SystemMonitor:6385 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-28 16:22:47,648 INFO    HandlerThread:6385 [system_monitor.py:probe():214] Collecting system info
2024-03-28 16:22:47,648 INFO    SystemMonitor:6385 [interfaces.py:start():190] Started cpu monitoring
2024-03-28 16:22:47,649 INFO    SystemMonitor:6385 [interfaces.py:start():190] Started disk monitoring
2024-03-28 16:22:47,649 INFO    SystemMonitor:6385 [interfaces.py:start():190] Started gpu monitoring
2024-03-28 16:22:47,649 INFO    SystemMonitor:6385 [interfaces.py:start():190] Started memory monitoring
2024-03-28 16:22:47,649 INFO    SystemMonitor:6385 [interfaces.py:start():190] Started network monitoring
2024-03-28 16:22:47,659 DEBUG   HandlerThread:6385 [system_info.py:probe():150] Probing system
2024-03-28 16:22:47,660 DEBUG   HandlerThread:6385 [system_info.py:_probe_git():135] Probing git
2024-03-28 16:22:47,663 DEBUG   HandlerThread:6385 [system_info.py:_probe_git():143] Probing git done
2024-03-28 16:22:47,663 DEBUG   HandlerThread:6385 [system_info.py:probe():198] Probing system done
