2024-03-28 18:52:35,569 INFO    StreamThr :12039 [internal.py:wandb_internal():86] W&B internal server running at pid: 12039, started at: 2024-03-28 18:52:35.569150
2024-03-28 18:52:35,570 DEBUG   HandlerThread:12039 [handler.py:handle_request():146] handle_request: status
2024-03-28 18:52:35,571 INFO    WriterThread:12039 [datastore.py:open_for_write():87] open: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_185235-ue5ijcym/run-ue5ijcym.wandb
2024-03-28 18:52:35,571 DEBUG   SenderThread:12039 [sender.py:send():379] send: header
2024-03-28 18:52:35,572 DEBUG   SenderThread:12039 [sender.py:send():379] send: run
2024-03-28 18:52:35,974 INFO    SenderThread:12039 [dir_watcher.py:__init__():211] watching files in: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_185235-ue5ijcym/files
2024-03-28 18:52:35,974 INFO    SenderThread:12039 [sender.py:_start_run_threads():1124] run started: ue5ijcym with start time 1711677155.568931
2024-03-28 18:52:35,977 DEBUG   HandlerThread:12039 [handler.py:handle_request():146] handle_request: check_version
2024-03-28 18:52:35,978 DEBUG   SenderThread:12039 [sender.py:send_request():406] send_request: check_version
2024-03-28 18:52:36,028 DEBUG   HandlerThread:12039 [handler.py:handle_request():146] handle_request: run_start
2024-03-28 18:52:36,035 DEBUG   HandlerThread:12039 [system_info.py:__init__():26] System info init
2024-03-28 18:52:36,035 DEBUG   HandlerThread:12039 [system_info.py:__init__():41] System info init done
2024-03-28 18:52:36,035 INFO    HandlerThread:12039 [system_monitor.py:start():194] Starting system monitor
2024-03-28 18:52:36,035 INFO    SystemMonitor:12039 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-28 18:52:36,035 INFO    HandlerThread:12039 [system_monitor.py:probe():214] Collecting system info
2024-03-28 18:52:36,035 INFO    SystemMonitor:12039 [interfaces.py:start():190] Started cpu monitoring
2024-03-28 18:52:36,035 INFO    SystemMonitor:12039 [interfaces.py:start():190] Started disk monitoring
2024-03-28 18:52:36,036 INFO    SystemMonitor:12039 [interfaces.py:start():190] Started gpu monitoring
2024-03-28 18:52:36,036 INFO    SystemMonitor:12039 [interfaces.py:start():190] Started memory monitoring
2024-03-28 18:52:36,036 INFO    SystemMonitor:12039 [interfaces.py:start():190] Started network monitoring
2024-03-28 18:52:36,046 DEBUG   HandlerThread:12039 [system_info.py:probe():150] Probing system
2024-03-28 18:52:36,047 DEBUG   HandlerThread:12039 [system_info.py:_probe_git():135] Probing git
2024-03-28 18:52:36,051 DEBUG   HandlerThread:12039 [system_info.py:_probe_git():143] Probing git done
2024-03-28 18:52:36,051 DEBUG   HandlerThread:12039 [system_info.py:probe():198] Probing system done
2024-03-28 18:52:36,051 DEBUG   HandlerThread:12039 [system_monitor.py:probe():223] {'os': 'Linux-6.5.0-26-generic-x86_64-with-glibc2.35', 'python': '3.11.8', 'heartbeatAt': '2024-03-29T01:52:36.046051', 'startedAt': '2024-03-29T01:52:35.567048', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/yujustin/SSD/DeepUL294Proj/DUL294P/train_gen.py', 'codePathLocal': 'train_gen.py', 'codePath': 'DUL294P/train_gen.py', 'git': {'remote': 'https://github.com/uynitsuj/DeepUL294Proj.git', 'commit': '4ea2c2a333414e16ff3586a1e02b27ded374213c'}, 'email': 'yujustin8@gmail.com', 'root': '/home/yujustin/SSD/DeepUL294Proj', 'host': 'Guilty-Spark', 'username': 'yujustin', 'executable': '/home/yujustin/anaconda3/envs/fov/bin/python', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2607.2230625, 'min': 400.0, 'max': 5573.0}, 'cpu_freq_per_core': [{'current': 3592.98, 'min': 400.0, 'max': 5573.0}, {'current': 3591.456, 'min': 400.0, 'max': 5573.0}, {'current': 3957.378, 'min': 400.0, 'max': 5573.0}, {'current': 400.0, 'min': 400.0, 'max': 5573.0}, {'current': 4491.407, 'min': 400.0, 'max': 5573.0}, {'current': 400.0, 'min': 400.0, 'max': 5573.0}, {'current': 400.0, 'min': 400.0, 'max': 5573.0}, {'current': 4027.694, 'min': 400.0, 'max': 5573.0}, {'current': 400.0, 'min': 400.0, 'max': 5573.0}, {'current': 3593.395, 'min': 400.0, 'max': 5573.0}, {'current': 400.0, 'min': 400.0, 'max': 5573.0}, {'current': 4488.566, 'min': 400.0, 'max': 5573.0}, {'current': 400.0, 'min': 400.0, 'max': 5573.0}, {'current': 3592.856, 'min': 400.0, 'max': 5573.0}, {'current': 4291.298, 'min': 400.0, 'max': 5573.0}, {'current': 3688.539, 'min': 400.0, 'max': 5573.0}], 'disk': {'/': {'total': 567.2868194580078, 'used': 412.81042098999023}}, 'gpu': 'NVIDIA GeForce RTX 4090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4090', 'memory_total': 25757220864}], 'memory': {'total': 30.49289321899414}}
2024-03-28 18:52:36,051 INFO    HandlerThread:12039 [system_monitor.py:probe():224] Finished collecting system info
2024-03-28 18:52:36,051 INFO    HandlerThread:12039 [system_monitor.py:probe():227] Publishing system info
2024-03-28 18:52:36,051 DEBUG   HandlerThread:12039 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
2024-03-28 18:52:36,975 INFO    Thread-12 :12039 [dir_watcher.py:_on_file_created():271] file/dir created: /home/yujustin/SSD/DeepUL294Proj/DUL294P/wandb/run-20240328_185235-ue5ijcym/files/conda-environment.yaml
2024-03-28 18:52:37,918 DEBUG   HandlerThread:12039 [system_info.py:_save_conda():222] Saving conda packages done
2024-03-28 18:52:37,918 DEBUG   HandlerThread:12039 [system_info.py:_save_code():44] Saving code
